,Company Name,job_title,seniority,min_salary,max_salary,Rating,python,sql,r_studio,spark,aws,excel,sector,age,Revenue,Type of ownership,description_len,min_employees,max_employees,avg_size,avg_salary
0,MThree Consulting,na,na,24,38,4.1,1,0,0,0,0,0,public,11,Unknown / Non-Applicable,Private,3098,501,1000,750.0,31.0
1,Yorkshire Water,na,na,24,38,3.6,0,0,0,0,0,0,public,48,$500 million to $1 billion (USD),Private,3750,1001,5000,3000.0,31.0
2,Citadel,data engineer,na,24,38,4.3,1,1,0,1,1,0,public,31,$50 to $100 million (USD),Private,2899,1001,5000,3000.0,31.0
3,Ravelin,data scientist,na,24,38,4.8,0,1,0,0,0,0,inforamtion tech,7,$5 to $10 million (USD),Private,3388,51,200,126.0,31.0
4,gohenry Ltd,analyst,na,24,38,4.6,0,1,0,0,0,1,finance,9,$10 to $25 million (USD),Private,3376,51,200,126.0,31.0
5,Achilles Therapeutics,data scientist,na,24,38,3.3,1,0,0,0,0,1,medical,5,Unknown / Non-Applicable,Private,3476,201,500,350.0,31.0
6,Kandidate,data scientist,na,24,38,5.0,1,0,0,0,1,0,public,6,Unknown / Non-Applicable,Private,3155,1,50,26.0,31.0
7,infarm,data scientist,na,24,38,4.1,1,0,0,0,0,0,retail,8,Unknown / Non-Applicable,Private,3986,501,1000,750.0,31.0
8,Opensignal,data scientist,na,24,38,5.0,1,1,0,0,0,0,public,11,Less than $1 million (USD),Private,6630,1,50,26.0,31.0
9,Lyst,data scientist,na,24,38,4.5,1,0,0,1,1,0,telecommunication,11,$50 to $100 million (USD),Private,4621,51,200,126.0,31.0
10,Product Madness,data scientist,na,24,38,3.6,1,1,0,0,0,0,inforamtion tech,14,Unknown / Non-Applicable,Private,5334,51,200,126.0,31.0
11,Depop,data scientist,na,24,38,4.3,1,0,0,1,1,0,retail,10,Unknown / Non-Applicable,Private,7702,201,500,350.0,31.0
12,Blue Pelican,data scientist,senior,24,38,3.8,1,1,0,0,0,1,public,19,Unknown / Non-Applicable,Private,3858,1,50,26.0,31.0
13,Deliveroo,data scientist,na,24,38,3.6,1,1,0,0,0,1,telecommunication,8,Unknown / Non-Applicable,Private,4782,1001,5000,3000.0,31.0
14,UserTesting,data scientist,na,24,38,3.8,1,1,0,0,0,0,inforamtion tech,14,$100 to $500 million (USD),Private,3651,501,1000,750.0,31.0
15,causaLens,data scientist,na,24,38,4.5,1,0,0,0,0,1,inforamtion tech,4,Unknown / Non-Applicable,Private,5449,1,50,26.0,31.0
16,Tractable,data scientist,na,24,38,4.9,1,0,0,0,0,1,inforamtion tech,7,Unknown / Non-Applicable,Private,3691,51,200,126.0,31.0
17,ADLIB,data scientist,na,24,38,4.6,1,0,0,0,0,0,public,21,Unknown / Non-Applicable,Private,1953,1,50,26.0,31.0
18,ASDA,data scientist,na,24,38,3.6,0,1,0,0,0,1,retail,72,$10+ billion (USD),Venture,2408,10000,10000,10000.0,31.0
19,Adthena,data scientist,na,24,38,4.4,1,1,0,0,1,0,inforamtion tech,9,$10 to $25 million (USD),Private,7110,51,200,126.0,31.0
20,Medable,data scientist,na,24,38,5.0,1,0,0,0,0,1,public,-1,Less than $1 million (USD),Private,2277,1,50,26.0,31.0
21,Bud,na,senior,24,38,3.7,1,0,0,1,1,1,inforamtion tech,6,Unknown / Non-Applicable,Private,8271,51,200,126.0,31.0
22,easyJet,data scientist,na,24,38,4.1,0,0,0,0,0,1,public,26,$2 to $5 billion (USD),Private,5203,10000,10000,10000.0,31.0
23,"Jefferies & Company, Inc.",data scientist,na,24,38,3.9,1,0,0,0,1,0,finance,59,$2 to $5 billion (USD),Public,2330,1001,5000,3000.0,31.0
24,QBE,data scientist,na,24,38,3.5,1,1,0,0,0,0,finance,135,$10+ billion (USD),Public,5090,10000,10000,10000.0,31.0
25,Fidel API,data scientist,na,24,38,5.0,1,0,0,0,1,1,finance,8,Unknown / Non-Applicable,Private,3855,1,50,26.0,31.0
26,VaynerMedia LLC,data scientist,na,24,38,3.0,1,0,0,0,0,1,public,-1,$10 to $25 million (USD),Private,3021,51,200,126.0,31.0
27,Deep Labs,data scientist,na,24,38,3.8,1,0,0,0,1,0,inforamtion tech,6,Unknown / Non-Applicable,Private,3195,1,50,26.0,31.0
28,RNLI,data scientist,na,24,38,3.9,1,1,0,0,0,0,public,197,Unknown / Non-Applicable,Organization,4380,1001,5000,3000.0,31.0
29,Drax Group,data scientist,na,24,38,3.5,1,1,0,1,0,0,public,-1,$2 to $5 billion (USD),Public,2932,1001,5000,3000.0,31.0
30,Sonder,data scientist,na,24,38,2.9,1,1,0,0,0,0,hospitality,7,$100 to $500 million (USD),Private,3303,1001,5000,3000.0,31.0
31,Secret Intelligence Service,data scientist,na,24,38,2.8,0,0,0,0,0,0,public,112,Unknown / Non-Applicable,Organization,5235,1001,5000,3000.0,31.0
32,CK Group,na,na,38,70,4.3,0,0,0,0,0,1,public,-1,$1 to $5 million (USD),Public,2852,1,50,26.0,54.0
33,UserZoom,ai researcher,na,38,70,4.3,0,0,0,0,0,1,inforamtion tech,14,$10 to $25 million (USD),Private,3221,201,500,350.0,54.0
34,Citadel,na,na,38,70,4.3,0,0,0,0,0,0,public,31,$50 to $100 million (USD),Private,2979,1001,5000,3000.0,54.0
35,Alimentiv,na,na,38,70,4.0,0,0,0,0,0,1,medical,35,Unknown / Non-Applicable,Private,3196,201,500,350.0,54.0
36,Freemavens,na,na,38,70,4.4,1,1,0,0,0,1,public,-1,Less than $1 million (USD),Private,5733,1,50,26.0,54.0
37,Koch Supply and Trading,analyst,na,38,70,3.8,1,1,0,0,0,0,production,81,$10+ billion (USD),Private,3427,10000,10000,10000.0,54.0
